Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
,,,,<persName><status>mry</status> <forename>ʔbymlk</forename></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>kmwl</residence></persName>",,<persName><status>rbn</status> <forename>ywsp</forename> <virtue>ḥzyʔ</virtue></persName>,<persName><forename>qndq</forename></persName>,,,<persName><status>mry</status> <forename>ʔysḥq</forename></persName>,,,,,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",<persName><status>mry</status> <forename>mykʔyl</forename></persName>,,<persName><forename>yʕqwb</forename> d<residence>nṣybyn</residence></persName>,<persName><forename>hlnʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔrzyʔ</virtue></persName>,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,,
,,,,<persName><status>mry</status> <forename>zyʕʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>pnk</residence></persName>,,"<persName ref=""mry qrdg""><status>mry</status> <forename>qrdg</forename></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,,<persName><forename>qwndlʔ</forename></persName>,,,,,,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>krnʔ</residence></persName>",<persName><status>mry</status> <forename>gbryl</forename></persName>,,<persName><status>rbn</status> <forename>bnymyn</forename></persName>,"<persName ref=""ṣwlṭn mdwq""><forename>ṣwlṭn mdwq</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>tlyʔ</residence></persName>,<persName><forename>tqlʔ</forename></persName>,,
,,,,<persName><status>mry</status> <forename>ʕzyzʔ</forename></persName>,"<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>",,<persName><status>mry</status> <forename>ṭlyʔ</forename></persName>,<persName><status>mry</status> <forename>ptywn</forename></persName>,,,<persName><virtue>shdʔ</virtue> d<residence>myprqṭ</residence></persName>,,,,,,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,<persName><status>rbn</status> <forename>hwrmzd</forename></persName>,,<persName><status>mry</status> <forename>ʕbdmšyḥɁ</forename></persName>,<persName><forename>qndq</forename></persName>,,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",<persName><forename>hlnʔ</forename></persName>,,
,,,,<persName><status>mry</status> <forename>sbʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrhy</residence></persName>,,<persName><status>mry</status> <forename>ʕbdyšwʕ</forename> <virtue>nwkryṭʔ</virtue></persName>,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",,,<persName><forename>yʕqwb</forename> <virtue>ḥbyšyʔ</virtue></persName>,,,,,,<persName><status>mry</status> <forename>pytywn</forename></persName>,<persName><status>mry</status> <forename>yʕqwb</forename> d<residence>byt ʕbʔ</residence></persName>,,"<persName ref=""mry šwbḥʔ lyšwʕ""><status>mry</status> <forename>šwbḥlyšwʕ</forename></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,<persName><status>mry</status> <forename>ywḥʔ</forename> d<residence>šlmt</residence></persName>,"<persName ref=""ṣwlṭn mdwq""><forename>ṣwlṭn mdwq</forename></persName>",,
,,,,<persName><status>mry</status> <forename>mykʔyl</forename> <virtue>bdwqʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>byt rsn</residence></persName>,,"<persName ref=""mry šlyṭʔ drš ʕynʔ""><status>mry</status> <forename>šlyṭʔ</forename> d<residence>ršʕynʔ</residence></persName>",<persName><status>mry</status> <forename>ʔšʕyʔ</forename></persName>,,,<persName><status>mry</status> <forename>šlymwn</forename></persName>,,,,,,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",<persName><status>rbn</status> <forename>br ʕytʔ</forename></persName>,,<persName><status>mry</status> <forename>tmsys</forename></persName>,<persName><status>mry</status> <forename>ptywn</forename></persName>,,"<persName ref=""mry šmly kʔnʔ""><status>mry</status> <forename>šmly</forename> <virtue>kʔnʔ</virtue></persName>",<persName><forename>qndq</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,,<persName><status>mry</status> <forename>ywsp</forename></persName>,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,,,<persName><status>mry</status> <forename>šmwʔyl</forename></persName>,,,,,,<persName><status>rbn</status> <forename>pytywn</forename></persName>,"<persName ref=""mry sbryšwʕ dbyt qwqʔ""><status>mry</status> <forename>sbryšwʕ</forename> d<residence>byt qwqʔ</residence></persName>",,<persName><status>mry</status> <forename>kwkbʔ</forename></persName>,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",,,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔbylʔ</virtue></persName>,,<persName><status>rbn</status> <forename>ʔhrwn</forename></persName>,<persName><status>mry</status> <forename>šbwr</forename></persName>,,,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,,,,,<persName><forename>ḥnnyɁ</forename> w<personGrp>ḥth</personGrp> d<residence>dyrʔ ʕlytʔ</residence></persName>,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename> d<residence>dsn</residence></persName>",,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,<persName><status>mry</status> <forename>ʔšʕyʔ</forename></persName>,,,<persName><status>mry</status> <forename>ptywn</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",,<persName><status>mry</status> <forename>ppʔ</forename></persName>,<persName><forename>qrdḥ</forename> w<personGrp>ḥth d<residence>dyrʔ ʕlytʔ</residence></personGrp></persName>,,,"<persName ref=""mry šwbḥʔ lyšwʕ""><status>mry</status> <forename>šwbḥʔ lyšwʕ</forename></persName>",,,,,,<persName><forename>ʔndrwnyqws</forename></persName>,<persName><status>rbn</status> <forename>ywsp</forename> <virtue>ḥzyʔ</virtue></persName>,,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>gwsʔ</forename></persName>,,,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,,"<persName ref=""mry sbʔ ʔsyʔ drwḥtʔ""><status>mry</status> <forename>sbʔ</forename> <virtue>ʔsyʔ</virtue></persName>",<persName><forename>ʔndrwnyqws</forename></persName>,,,<persName><status>mry</status> <forename>ywsp</forename> <virtue>ḥzyʔ</virtue></persName>,,,,,,<persName><status>mry</status> <forename>qwzmʔ</forename></persName>,"<persName ref=""mry qrdg""><status>mry</status> <forename>qrdg</forename></persName>",,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",<persName><status>mry</status> <forename>šbwr</forename></persName>,,,<persName><status>mry</status> <forename>ʔšʕyʔ</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšh</addName></persName>",,<persName><status>mry</status> <forename>zʕwrʔ</forename></persName>,<persName><forename>gdy</forename></persName>,,,<persName><status>rbn</status> <forename>ywsp</forename> <residence>bwsnyʔ</residence></persName>,,,,,,<persName><status>mry</status> <forename>bṭlʔ</forename></persName>​,<persName><status>mry</status> <forename>ṭlyʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,<persName><forename>qrdḥ</forename> w<personGrp>ḥth d<residence>dyrʔ ʕlytʔ</residence></personGrp></persName>,,,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn dʔšnwk""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnwk</residence></persName>",,<persName><status>mry</status> <forename>qwmʔ</forename></persName>,<persName><forename>mqby</forename></persName>,,,<persName><status>rbn</status> <forename>prnsʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>šlymwn</forename></persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,"<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>ʔndrwnyqws</forename></persName>,,,<persName><status>mry</status> <forename>šbwr</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",,"<persName ref=""mry dwmsṭynʔ""><status>mry</status> <forename>dwmsṭynʔ</forename></persName>",<persName><forename>trsy</forename></persName>,,,<persName><status>mry</status> <forename>qnwbyʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>ḥwny</forename></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><forename>gdy</forename></persName>,,,<persName><forename>qrdḥ</forename> w<personGrp>ḥth d<residence>dyrʔ ʕlytʔ</residence></personGrp></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,,<persName><status>mry</status> <forename>dwmṭ</forename></persName>,<persName><forename>ḥbrwn</forename></persName>,,,<persName><status>mry</status> <forename>yšwʕsbrn</forename></persName>,,,,,,<persName><status>mry</status> <forename>ʔyt ʔlhʔ</forename></persName>,<persName><status>mry</status> <forename>ywsp</forename> d<residence>ywdbld</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,<persName><forename>mqby</forename></persName>,,,<persName><forename>ʔndrwnyqws</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>rš ʕynʔ</residence></persName>,,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,"<persName ref=""ḥbṣwn""><forename>ḥwṣwn</forename></persName>",,,"<persName ref=""mry qrdg""><status>mry</status> <forename>qrdg</forename></persName>",,,,,,<persName><status>mry</status> <forename>ntnyʔyl</forename></persName>,<persName><status>rbn</status> <forename>ʔhrwn</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><forename>trsy</forename></persName>,,,<persName><forename>gdy</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> d<residence>dqnh</residence></persName>",,<persName><status>mry</status> <forename>gnybʔ</forename></persName>,"<persName ref=""bkws""><forename>bkws</forename></persName>",,,<persName><status>mry</status> <forename>ywsp</forename> d<residence>blwn</residence></persName>,,,,,,<persName><status>mry</status> <forename>sbryšwʕ</forename></persName>,<persName><status>ʔbʔ</status> <forename>dnḥʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><forename>ḥbrwn</forename></persName>,,,<persName><forename>mqby</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>bdwqʔ</virtue></persName>,,<persName><status>mry</status> <forename>ʔbrhm</forename> <residence>kškryʔ</residence></persName>,<persName><forename>ywndb</forename></persName>,,,<persName><status>mry</status> <status>rbn</status> <forename>ʔhrwn</forename></persName>,,,,,,<persName><status>mry</status> <forename>qmyšwʕ</forename></persName>,"<persName ref=""mry bby dsmqʔ""><status>mry</status> <forename ref=""bby"">byby</forename> d<residence>smqʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,"<persName ref=""ḥbṣwn""><forename>ḥbṣwn</forename></persName>",,,<persName><forename>trṣy</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>šnʔ</residence></persName>,,"<persName ref=""mry qwryqws ṭlyʔ""><status>mry</status> <forename>qwryqws</forename> <trait>ṭlyʔ</trait> w<personGrp>ʔmh <status>mrty</status> <forename>ywlyṭʔ</forename></personGrp></persName>",<persName><forename>ʔlyʕzr</forename></persName>,,,<persName><status>ʔbʔ</status> <forename>dnḥʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>ḥnnyšwʕ</forename></persName>,<persName><status>mry</status> <forename>sbʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,"<persName ref=""bkws""><forename>bkws</forename></persName>",,,<persName><forename>ḥbrwn</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,,<persName><status>mry</status> <forename>zyʕʔ</forename></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",,,<persName><status>mry</status> <forename>ppʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>šwbḥʔ lmrn</forename></persName>,<persName><status>mry</status> <forename>qwzmʔ</forename></persName>,,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",<persName><forename>ywndb</forename></persName>,,,"<persName ref=""ḥbṣwn""><forename>ḥbṣwn</forename></persName>",,
,,,,,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",,<persName><status>mry</status> <forename>ʕzyzʔ</forename></persName>,<persName><forename>pwbʔ</forename></persName>,,,<persName><status>mry</status> <forename>bby</forename> <trait>rbʔ</trait></persName>,,,,,,<persName><status>mry</status> <forename>ḥwny</forename></persName>,<persName><status>mry</status> w<forename>yšwʕ</forename> d<residence>kwsytʔ</residence></persName>,,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>",<persName><forename>ʔlyʕzr</forename></persName>,,,<persName><forename>ywndb</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> d<residence>ʔwrmyn</residence></persName>",,"<persName ref=""mry šwbḥʔ lyšwʕ""><status>mry</status> <forename>šwbḥʔlyšwʕ</forename></persName>",<persName><forename>ṭbytʔ</forename></persName>,,,"<persName ref=""mry bby dsmqʔ""><status>mry</status> <forename>bby</forename> d<residence>smqʔ</residence></persName>",,,,,,<persName><status>mry</status> <forename>ʔyt ʔlhʔ</forename></persName>,<persName><forename>pwlws</forename> <trait>štyqɁ</trait></persName>,,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgrytyʔ</residence></persName>","<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",,,<persName><forename>ʔlyʕzr</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>sywmʔ</virtue></persName>,,<persName><status>mry</status> <forename>tmsys</forename></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brty mlkʔ</addName></persName>",,,"<persName ref=""mry sbʔ ʔsyʔ drwḥtʔ""><status>mry</status> <forename>sbʔ</forename> <virtue>ʔsyʔ</virtue></persName>",,,,,,<persName><status>mry</status> <forename>ntnyʔyl</forename></persName>,<persName><status>mry</status> <forename>zʕwrʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,<persName><forename>pwbʔ</forename></persName>,,,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",,
,,,,,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> d<residence>krnʔ</residence></persName>",,<persName><status>mry</status> <forename>kwkbʔ</forename></persName>,<persName><forename>dynʔ</forename></persName>,,,<persName><status>mry</status> <forename>sbʔ</forename> <virtue>shdʔ</virtue></persName>,,,,,,<persName><status>mry</status> <forename>sbryšwʕ</forename></persName>,<persName><status>mry</status> <forename>qwmʔ</forename></persName>,,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔwgrʔ</addName></persName>",<persName><forename>ṭbytʔ</forename></persName>,,,<persName><forename>pwbʔ</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>dwlbʔ</residence></persName>,,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,<persName><forename>ḥnʔ</forename></persName>,,,"<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>",,,,,,<persName><status>mry</status> <forename>yšwʕyhb</forename></persName>,"<persName ref=""mry dwmsṭynʔ""><status>mry</status> <forename>dwmsṭynʔ</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",,,<persName><forename>ṭbytʔ</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> <residence>ǧlwyʔ</residence></persName>",,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><forename>mrtʔ</forename></persName>,,,<group><residence>dyrʔ dʕlybɁ</residence></group>,,,,,,<persName><status>mry</status> <forename>dnḥ yšwʕ</forename></persName>,<persName><status>mry</status> <forename>dwmṭ</forename></persName>,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><forename>dynʔ</forename></persName>,,,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",,
,,,,,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>",,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,,,<persName><status>mry</status> <forename>qwzmʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>yšwʕ</forename></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,"<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br pnkyʔ</addName></persName>",<persName><forename>ḥnʔ</forename></persName>,,,<persName><forename>dynʔ</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> <addName>br ʔwgr</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,<persName><forename>mrym</forename> <addName>dbyt ywsʔ</addName></persName>,,,"<persName ref=""mry dwmsṭynʔ""><status>mry</status> <forename ref=""dwmsṭynʔ"">dwmyynʔ</forename></persName>",,,,,,<persName><status>mry</status> <forename>bhyšwʕ</forename></persName>,<persName><status>mry</status> <forename>gybʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>nwkryṭʔ</virtue></persName>,<persName><forename>mrtʔ</forename></persName>,,,<persName><forename>ḥnʔ</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,<persName><status>mry</status> <forename>ḥwny</forename></persName>,,,<persName><status>mry</status> <forename>gnybʔ</forename></persName>,,,,,,<persName><virtue>shdʔ</virtue> d<residence>myprqṭ</residence></persName>,<persName><status>mry</status> <forename>ʔbrhm</forename> <trait>rbʔ</trait></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,,,<persName><forename>mrtʔ</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> <addName>br bdmh</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ʔyt ʔlhʔ</forename></persName>,,,<group><residence>dyrʔ dbyt sdrɁ</residence></group>,,,,,,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename> <residence>ntpryʔ</residence></persName>,,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>",<persName><forename>mrym</forename> <addName>dbyt ywsʔ</addName></persName>,,,<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,,
,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnbr</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,<persName><status>mry</status> <forename>ʔynʔ</forename></persName>,,,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,,,,,<persName><status>mry</status> <forename>ḥyʔ</forename></persName>,<persName><status>mry</status> <forename>qwryqws</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ṭbytʔ</residence></persName>,<persName><status>mry</status> <forename>ḥwny</forename></persName>,,,<persName><forename>mrym</forename> <addName>dbyt ywsʔ</addName></persName>,,
,,,,,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename ref=""ywḥnn"">ywḥnʔ</forename> <trait>sbʔ</trait></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,,<persName><status>mry</status></persName>,,,,,,"<persName ref=""srpywn""><status>mry</status> <forename>srpywn</forename></persName>",<persName><forename>yʕqwb</forename> d<residence>nṣybyn</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnḥl</residence></persName>,<persName><status>mry</status> <forename>ʔyt ʔlhʔ</forename></persName>,,,<persName><status>mry</status> <forename>ḥwny</forename></persName>,,
,,,,,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",,"<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,,,,,,"<persName ref=""ʔbʔ mrqws trmqyʔ""><status>ʔbʔ</status> <forename>mrqws</forename> <residence>trmqyʔ</residence></persName>",<persName><status>rbn</status> <forename>bnymyn</forename></persName>,,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>",<persName><status>mry</status> <forename>ʔynʔ</forename></persName>,,,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <virtue>ṣwṣnyʔ</virtue></persName>",<persName><status>mry</status> <forename>ḥyʔ</forename></persName>,,,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,,,,,,,<persName><status>mry</status> <forename>ʕbdmšyḥ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,
,,,,,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,<persName><forename>pṭrws</forename></persName>,,,absent folios,,,,,,,"<persName ref=""mry šwbḥʔ lyšwʕ""><status>mry</status> <forename>šbḥʔ lyšwʕ</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> hw dbʕʔ mn mrn wnḥmh lyldth </persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>krysṭprws</forename></persName>,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>","<persName ref=""pwlws""><forename>pwlws</forename></persName>",,,lost part of the folio,,,,,,,<persName><status>mry</status> <forename>tmsys</forename></persName>,,"<persName ref=""mry ʔlyʔ ʔbw ḥlym""><status>mry</status> <forename>ʔlyʔ</forename> <addName>ʔbwḥlym</addName></persName>",<persName><status>mry</status> <forename>ḥyʔ</forename></persName>,,,<persName><forename>pṭrws</forename></persName>,,
,,,,,<persName><status>mry</status> <forename>ʔḥʔ</forename>d<residence>šlmt</residence></persName>,,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔwgrʔ</addName></persName>",<persName><forename>mty</forename></persName>,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,,,,,,,<persName><status>mry</status> <forename>ʕbdyšwʕ</forename> <virtue>nwkryṭʔ</virtue></persName>,,"<persName ref=""mry šmly kʔnʔ""><status>mry</status> <forename>šmly</forename> <virtue>kʔnʔ</virtue></persName>",<persName><forename>pṭrws</forename></persName>,,,"<persName ref=""pwlws""><forename>pwlws</forename></persName>",,
,,,,,"<persName ref=""mry šmly kʔnʔ""><status>mry</status> <forename ref=""šmly"">šlmy</forename> <virtue>kʔnʔ</virtue></persName>",,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>",<persName><forename>mrqws</forename></persName>,,,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>",,,,,,,<persName><status>mry</status> <forename>kwkbʔ</forename></persName>,,,"<persName ref=""pwlws""><forename>pwlws</forename></persName>",,,<persName><forename>mty</forename></persName>,,
